,userID,pageID,rating,time,url
3173,13590,51613,92,2014-11-30 20:47:50,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH102/December_2013/Question_B_05
3174,13590,51614,85,2014-12-03 18:00:32,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH102/December_2013/Question_B_04
3175,13590,51615,90,2014-11-30 20:48:08,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH102/December_2013/Question_B_06
3176,13590,51616,100,2014-12-02 05:51:26,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH102/December_2013/Question_B_07
3177,13590,51617,86,2014-12-02 05:50:13,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH102/December_2013/Question_B_02
3178,13590,51618,95,2014-12-02 05:51:53,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH102/December_2013/Question_B_08
3179,13590,51619,93,2014-12-09 19:18:44,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH102/December_2013/Question_C_02_(b)
3180,13590,51620,95,2014-12-09 19:07:27,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH102/December_2013/Question_C_02_(a)
3181,13590,51622,85,2014-11-30 20:52:55,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH102/December_2013/Question_C_01
3182,13590,51623,85,2014-12-02 05:54:16,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH102/December_2013/Question_C_04
3183,13590,51628,100,2014-11-17 01:54:31,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH104/December_2013/Question_01_(a)
3184,13590,51629,95,2014-11-17 01:54:19,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH104/December_2013/Question_01_(b)
3185,13590,51630,95,2014-11-17 01:55:00,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH104/December_2013/Question_01_(c)
3186,13590,51631,93,2014-11-17 01:55:21,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH104/December_2013/Question_01_(d)
3187,13590,51632,90,2014-11-17 01:55:43,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH104/December_2013/Question_01_(e)
3188,13590,51633,90,2014-11-17 01:56:03,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH104/December_2013/Question_01_(f)
3189,13590,51634,90,2014-11-17 01:56:51,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH104/December_2013/Question_01_(g)
3190,13590,51635,100,2014-11-17 01:57:18,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH104/December_2013/Question_01_(h)
3191,13696,41994,10,2014-12-06 00:11:46,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH200/April_2012/Question_01_(a)
3192,13696,41999,30,2014-12-06 01:05:11,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH200/April_2012/Question_04_(a)
3193,13696,42003,71,2014-12-06 01:25:34,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH200/April_2012/Question_05_(b)
3194,13791,29716,84,2014-11-30 04:21:53,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2011/Question_01_(a)
3195,13791,29717,95,2014-11-30 04:21:43,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2011/Question_01_(b)
3196,13791,29718,89,2014-11-30 04:21:31,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2011/Question_01_(c)
3197,13791,29827,97,2014-11-30 04:20:30,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2011/Question_01_(g)
3198,13791,29828,95,2014-11-30 04:14:32,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2011/Question_01_(h)
3199,13791,29836,63,2014-11-30 04:11:02,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2011/Question_02_(b)
3200,13791,29838,38,2014-11-30 04:10:23,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2011/Question_03_(b)
3201,13791,29839,89,2014-11-30 04:09:47,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2011/Question_04_(a)
3202,13791,29841,94,2014-11-30 04:09:02,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2011/Question_05_(a)
3203,13791,29842,100,2014-11-30 04:08:50,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2011/Question_05_(b)
3204,13791,29843,94,2014-11-30 04:08:30,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2011/Question_05_(c)
3205,13791,29844,76,2014-11-30 04:08:18,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2011/Question_05_(d)
3206,13791,29847,31,2014-11-30 04:04:58,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2011/Question_07
3207,13791,29848,69,2014-11-30 04:06:32,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2011/Question_08
3208,13791,38482,51,2014-11-28 06:25:53,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2012/Question_04_(b)
3209,13791,38483,45,2014-11-28 06:27:19,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2012/Question_04_(c)
3210,13791,38484,78,2014-11-28 06:27:50,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2012/Question_05_(a)
3211,13791,38485,84,2014-11-28 06:28:00,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2012/Question_05_(b)
3212,13791,38486,70,2014-11-28 06:28:22,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2012/Question_06_(a)
3213,13791,38487,100,2014-11-28 06:28:41,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2012/Question_06_(b)
